GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
millete,com.puntomartinez.millete.groupgoals.domain.ports.in,CalculateContributionsUseCase.MemberContribution,0,9,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.domain.ports.in,AddContributionUseCase.AddContributionCommand,0,6,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.domain.ports.in,WithdrawContributionUseCase.WithdrawContributionCommand,0,6,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.shared.infrastructure.in.controller.advice,GlobalExceptionHandler,74,165,2,0,16,27,4,13,3,13
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,WithdrawContributionRequestDTO,0,6,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,GoalListItemResponseDTO,0,18,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,GoalDetailResponseDTO,27,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,GoalContributionDTO,18,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,GoalMemberDTO,21,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,UpdateGoalRequestDTO,0,12,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,InvitationResponseDTO,0,27,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,GoalResponseDTO,0,15,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,CreateGoalRequestDTO,0,12,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,AddContributionRequestDTO,0,6,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,ContributionsCalculationResponseDTO,12,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,InviteMemberRequestDTO,0,6,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,UpdateMemberRequestDTO,12,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller.dto,ContributionsCalculationResponseDTO.MemberContributionDTO,9,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.users.infrastructure.in.controller,ProfileController,186,0,0,0,55,0,11,0,11,0
millete,com.puntomartinez.millete.users.infrastructure.in.controller,AuthController,166,0,4,0,49,0,7,0,5,0
millete,com.puntomartinez.millete.plannedtransactions.domain.ports.out,CategoryDisplayPort.CategoryDisplay,0,12,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.investments.domain.ports.out,InvestmentQueryPort.InvestmentData,6,36,0,0,1,3,1,3,1,3
millete,com.puntomartinez.millete.users.infrastructure.in.controller.dto,RegisterUserRequestDTO,28,0,4,0,5,0,4,0,2,0
millete,com.puntomartinez.millete.users.infrastructure.in.controller.dto,LoginRequestDTO,9,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.users.infrastructure.in.controller.dto,DeactivateAccountRequestDTO,6,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.users.infrastructure.in.controller.dto,ChangePasswordRequestDTO,9,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.users.infrastructure.in.controller.dto,TopNavUserResponseDTO,12,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.users.infrastructure.in.controller.dto,UserProfileDTO,18,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.users.infrastructure.in.controller.dto,UserResponseDTO,24,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.users.infrastructure.in.controller.dto,UpdateProfileRequestDTO,28,0,4,0,5,0,4,0,2,0
millete,com.puntomartinez.millete.users.infrastructure.in.controller.dto,UserSessionResponseDTO,15,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.dashboard.infrastructure.in.controller,DashboardController,0,64,0,0,0,21,0,7,0,7
millete,com.puntomartinez.millete.plannedtransactions.application.services,PlannedTransactionService,54,295,8,20,21,94,7,21,0,13
millete,com.puntomartinez.millete.plannedtransactions.application.services,PlannedTransactionExecutionService,0,90,0,6,0,32,0,7,0,4
